CustomerKey,FirstName,LastName,MaritalStatus,Gender,YearlyIncome,Education,Occupation,City,StateProvince,Country,NumberOfOrders,TotalQuantity,TotalAmount
11018,Clarence,Rai,S,M,"$30,000.00 ",Partial College,Clerical,Bendigo,Victoria,Australia,7,7,"$6,533.28 "
11019,Luke,Lal,S,M,"$40,000.00 ",High School,Skilled Manual,Langley,British Columbia,Canada,33,33,$882.70 
11020,Jordan,King,S,M,"$40,000.00 ",High School,Skilled Manual,Metchosin,British Columbia,Canada,2,2,"$2,316.97 "
11021,Destiny,Wilson,S,F,"$40,000.00 ",Partial College,Skilled Manual,Beaverton,Oregon,United States,3,3,"$2,371.96 "
11022,Ethan,Zhang,M,M,"$40,000.00 ",Partial College,Skilled Manual,Bellingham,Washington,United States,2,2,"$2,322.28 "
11023,Seth,Edwards,M,M,"$40,000.00 ",Partial College,Skilled Manual,Bellflower,California,United States,6,6,$122.24 
11024,Russell,Xie,M,M,"$60,000.00 ",Partial College,Skilled Manual,Concord,California,United States,6,6,$56.51 
11025,Alejandro,Beck,M,M,"$10,000.00 ",Partial High School,Clerical,Hawthorne,Queensland,Australia,6,6,"$6,576.80 "
11026,Harold,Sai,S,M,"$30,000.00 ",Partial College,Clerical,Goulburn,New South Wales,Australia,7,7,"$6,575.79 "
11027,Jessie,Zhao,M,M,"$30,000.00 ",Partial College,Clerical,Warrnambool,Victoria,Australia,9,9,"$6,591.57 "
11028,Jill,Jimenez,M,F,"$30,000.00 ",Partial College,Clerical,St. Leonards,New South Wales,Australia,5,5,"$6,474.62 "
11029,Jimmy,Moreno,M,M,"$30,000.00 ",Partial College,Clerical,Bendigo,Victoria,Australia,7,7,"$6,565.29 "
11030,Bethany,Yuan,M,F,"$10,000.00 ",Partial High School,Clerical,Cloverdale,South Australia,Australia,4,4,"$6,471.32 "
11031,Theresa,Ramos,M,F,"$20,000.00 ",High School,Skilled Manual,Matraville,New South Wales,Australia,6,6,"$6,478.60 "
11032,Denise,Stone,M,F,"$20,000.00 ",High School,Skilled Manual,Melbourne,Victoria,Australia,10,10,"$6,525.56 "
11033,Jaime,Nath,M,M,"$20,000.00 ",High School,Skilled Manual,Milsons Point,New South Wales,Australia,7,7,"$6,495.29 "
11034,Ebony,Gonzalez,M,F,"$20,000.00 ",High School,Skilled Manual,North Sydney,New South Wales,Australia,4,4,"$6,491.32 "
11035,Wendy,Dominguez,M,F,"$10,000.00 ",Partial High School,Clerical,Cranbourne,Victoria,Australia,5,5,"$6,451.31 "
11036,Jennifer,Russell,M,F,"$60,000.00 ",Partial College,Skilled Manual,National City,California,United States,2,2,"$2,354.98 "
11037,Chloe,Garcia,S,F,"$40,000.00 ",Partial High School,Clerical,Cliffside,British Columbia,Canada,7,7,"$2,374.23 "
11038,Diana,Hernandez,M,F,"$10,000.00 ",Partial High School,Clerical,Lavender Bay,New South Wales,Australia,3,3,"$6,437.33 "
11039,Marc,Martin,M,M,"$30,000.00 ",Partial College,Clerical,Wollongong,New South Wales,Australia,9,9,"$6,636.58 "
11040,Jesse,Murphy,M,M,"$30,000.00 ",Partial College,Skilled Manual,Tacoma,Washington,United States,3,3,"$2,350.96 "
11041,Amanda,Carter,M,F,"$60,000.00 ",Partial College,Skilled Manual,Glendale,California,United States,3,3,"$2,380.47 "
11042,Megan,Sanchez,M,F,"$70,000.00 ",Partial College,Skilled Manual,Los Angeles,California,United States,3,3,"$3,112.33 "
11043,Nathan,Simmons,M,M,"$60,000.00 ",Partial College,Skilled Manual,Glendale,California,United States,3,3,$47.98 
11044,Adam,Flores,M,M,"$20,000.00 ",Partial High School,Clerical,Hervey Bay,Queensland,Australia,7,7,"$6,515.30 "
11045,Leonard,Nara,S,M,"$30,000.00 ",High School,Skilled Manual,Matraville,New South Wales,Australia,4,4,$114.96 
11046,Christine,Yuan,M,F,"$30,000.00 ",High School,Skilled Manual,Lavender Bay,New South Wales,Australia,6,6,"$6,616.81 "
11047,Jaclyn,Lu,M,F,"$30,000.00 ",High School,Skilled Manual,Geelong,Victoria,Australia,4,4,"$6,582.33 "
11048,Jeremy,Powell,M,M,"$30,000.00 ",High School,Skilled Manual,Sunbury,Victoria,Australia,8,8,"$6,498.24 "
11049,Carol,Rai,S,F,"$40,000.00 ",Partial High School,Clerical,Chula Vista,California,United States,5,5,$81.26 
11050,Alan,Zheng,M,M,"$30,000.00 ",High School,Skilled Manual,Hobart,Tasmania,Australia,6,6,"$5,007.30 "
11051,Daniel,Johnson,S,M,"$30,000.00 ",High School,Skilled Manual,Caloundra,Queensland,Australia,5,5,$123.95 
11052,Heidi,Lopez,S,F,"$40,000.00 ",Partial College,Clerical,Matraville,New South Wales,Australia,7,7,"$8,131.32 "
11053,Ana,Price,M,F,"$60,000.00 ",Partial College,Skilled Manual,San Diego,California,United States,2,2,"$2,329.98 "
11054,Deanna,Munoz,M,F,"$40,000.00 ",Partial College,Skilled Manual,Geelong,Victoria,Australia,6,6,"$8,223.02 "
11055,Gilbert,Raje,M,M,"$40,000.00 ",Partial College,Skilled Manual,East Brisbane,Queensland,Australia,8,8,"$8,168.01 "
11056,Michele,Nath,M,F,"$40,000.00 ",Partial College,Skilled Manual,Newcastle,New South Wales,Australia,8,8,"$8,207.50 "
11057,Carl,Andersen,M,M,"$70,000.00 ",Graduate Degree,Management,Lane Cove,New South Wales,Australia,4,4,"$8,088.04 "
11058,Marc,Diaz,M,M,"$80,000.00 ",Partial College,Skilled Manual,Findon,South Australia,Australia,6,6,"$8,248.02 "
11059,Ashlee,Andersen,S,F,"$80,000.00 ",Partial College,Skilled Manual,Townsville,Queensland,Australia,7,7,$116.93 
11060,Jon,Zhou,M,M,"$80,000.00 ",Partial College,Skilled Manual,Warrnambool,Victoria,Australia,6,6,"$8,153.02 "
11061,Todd,Gao,M,M,"$80,000.00 ",Partial College,Skilled Manual,Gold Coast,Queensland,Australia,6,6,"$8,129.02 "
11062,Noah,Powell,M,M,"$40,000.00 ",High School,Skilled Manual,Portland,Oregon,United States,3,3,"$2,351.96 "
11063,Angela,Murphy,S,F,"$40,000.00 ",High School,Skilled Manual,Redmond,Washington,United States,5,5,"$2,372.95 "
11064,Chase,Reed,M,M,"$40,000.00 ",High School,Skilled Manual,Downey,California,United States,2,2,"$2,304.98 "
11065,Jessica,Henderson,M,F,"$60,000.00 ",Partial College,Skilled Manual,La Jolla,California,United States,5,5,$202.57 
11066,Grace,Butler,M,F,"$70,000.00 ",Partial College,Professional,Lebanon,Oregon,United States,5,5,$81.26 
11067,Caleb,Carter,S,M,"$60,000.00 ",Partial College,Professional,Port Orchard,Washington,United States,6,6,$105.75 
11068,Tiffany,Liang,S,F,"$80,000.00 ",High School,Skilled Manual,Warrnambool,Victoria,Australia,9,9,$113.36 
11069,Carolyn,Navarro,S,F,"$80,000.00 ",High School,Skilled Manual,Gold Coast,Queensland,Australia,3,3,"$8,104.05 "
11070,Willie,Raji,M,M,"$80,000.00 ",High School,Skilled Manual,Sunbury,Victoria,Australia,10,10,"$8,165.55 "
11071,Linda,Serrano,S,F,"$80,000.00 ",High School,Skilled Manual,Hawthorne,Queensland,Australia,7,7,$110.23 
11072,Casey,Luo,S,F,"$80,000.00 ",High School,Skilled Manual,St. Leonards,New South Wales,Australia,7,7,"$8,194.00 "
11073,Amy,Ye,S,F,"$70,000.00 ",High School,Skilled Manual,Springwood,New South Wales,Australia,10,10,$191.90 
11074,Levi,Arun,S,M,"$70,000.00 ",High School,Skilled Manual,Cloverdale,South Australia,Australia,7,7,$94.19 
11075,Felicia,Jimenez,S,F,"$80,000.00 ",High School,Professional,Bendigo,Victoria,Australia,5,5,"$8,068.03 "
11076,Blake,Anderson,S,M,"$80,000.00 ",High School,Professional,Wollongong,New South Wales,Australia,4,4,"$8,159.04 "
11077,Leah,Ye,S,F,"$80,000.00 ",High School,Professional,Melton,Victoria,Australia,5,5,"$8,169.03 "
11078,Gina,Martin,S,F,"$40,000.00 ",High School,Professional,Cliffside,British Columbia,Canada,31,31,$913.27 
11079,Donald,Gonzalez,S,M,"$160,000.00 ",Graduate Degree,Management,Geelong,Victoria,Australia,5,5,$57.95 
11080,Damien,Chander,M,M,"$170,000.00 ",Graduate Degree,Management,Perth,South Australia,Australia,7,7,"$8,204.02 "
11081,Savannah,Baker,M,F,"$120,000.00 ",Bachelors,Management,Concord,California,United States,5,5,$104.26 
11082,Angela,Butler,S,F,"$130,000.00 ",Graduate Degree,Management,Fremont,California,United States,6,6,"$3,110.81 "
11083,Alyssa,Cox,M,F,"$130,000.00 ",Graduate Degree,Management,Lincoln Acres,California,United States,5,5,"$3,137.32 "
11084,Lucas,Phillips,S,M,"$80,000.00 ",Partial High School,Skilled Manual,Lebanon,Oregon,United States,5,5,"$3,078.61 "
11085,Emily,Johnson,S,F,"$60,000.00 ",High School,Professional,Newport Beach,California,United States,5,5,$128.96 
11086,Ryan,Brown,M,M,"$70,000.00 ",Partial College,Professional,Santa Monica,California,United States,6,6,$153.45 
11087,Tamara,Liang,M,F,"$70,000.00 ",Partial College,Professional,Chula Vista,California,United States,4,4,$200.28 
11088,Hunter,Davis,M,M,"$80,000.00 ",Bachelors,Management,San Diego,California,United States,7,7,"$3,176.78 "
11089,Abigail,Price,S,F,"$80,000.00 ",Bachelors,Management,Long Beach,California,United States,7,7,"$3,188.28 "
11090,Trevor,Bryant,S,M,"$90,000.00 ",Partial College,Professional,Los Angeles,California,United States,6,6,"$6,704.08 "
11091,Dalton,Perez,M,M,"$90,000.00 ",Partial College,Professional,Haney,British Columbia,Canada,59,59,"$1,189.33 "
11092,Cheryl,Diaz,M,F,"$90,000.00 ",Bachelors,Professional,East Brisbane,Queensland,Australia,5,5,"$8,110.02 "
11093,Aimee,He,M,F,"$100,000.00 ",Graduate Degree,Management,Wollongong,New South Wales,Australia,7,7,"$8,180.00 "
11094,Cedric,Ma,S,M,"$70,000.00 ",Partial College,Skilled Manual,Cranbourne,Victoria,Australia,8,8,$235.89 
11095,Chad,Kumar,S,M,"$70,000.00 ",Partial College,Skilled Manual,Port Macquarie,New South Wales,Australia,7,7,"$8,158.01 "
11096,Andrés,Anand,M,M,"$60,000.00 ",Bachelors,Professional,North Sydney,New South Wales,Australia,4,4,"$8,063.04 "
11097,Edwin,Nara,M,M,"$60,000.00 ",Partial College,Skilled Manual,Warrnambool,Victoria,Australia,5,5,"$8,099.03 "
11098,Mallory,Rubio,S,F,"$60,000.00 ",Partial College,Skilled Manual,Rhodes,New South Wales,Australia,4,4,$88.96 
11099,Adam,Ross,M,M,"$60,000.00 ",Bachelors,Professional,Port Macquarie,New South Wales,Australia,9,9,"$8,215.99 "
11100,Latasha,Navarro,S,F,"$60,000.00 ",Partial College,Skilled Manual,Cloverdale,South Australia,Australia,7,7,"$8,172.51 "
11101,Abby,Sai,S,F,"$70,000.00 ",Bachelors,Professional,Cranbourne,Victoria,Australia,7,7,"$8,262.52 "
11102,Julia,Nelson,S,F,"$80,000.00 ",Bachelors,Professional,Sydney,New South Wales,Australia,5,5,$102.91 
11103,Cassie,Chande,S,F,"$70,000.00 ",Bachelors,Professional,Darlinghurst,New South Wales,Australia,8,8,"$8,182.50 "
11104,Edgar,Sara,M,M,"$70,000.00 ",Bachelors,Professional,Gold Coast,Queensland,Australia,6,6,"$8,173.03 "
11105,Candace,Fernandez,S,F,"$70,000.00 ",Bachelors,Professional,Matraville,New South Wales,Australia,5,5,"$8,095.99 "
11106,Jessie,Liu,S,M,"$70,000.00 ",Bachelors,Professional,Warrnambool,Victoria,Australia,3,3,"$8,079.05 "
11107,Bianca,Lin,M,F,"$90,000.00 ",Bachelors,Professional,St. Leonards,New South Wales,Australia,6,6,"$8,171.01 "
11108,Kari,Alvarez,S,F,"$70,000.00 ",Bachelors,Professional,Port Macquarie,New South Wales,Australia,5,5,"$8,124.04 "
11109,Ruben,Kapoor,S,M,"$70,000.00 ",Bachelors,Professional,South Melbourne,Victoria,Australia,8,8,"$8,245.01 "
11110,Curtis,Yang,M,M,"$60,000.00 ",Partial College,Skilled Manual,Darlinghurst,New South Wales,Australia,5,5,"$8,093.03 "
11111,Meredith,Gutierrez,M,F,"$60,000.00 ",Partial College,Skilled Manual,Geelong,Victoria,Australia,8,8,"$8,137.00 "
11112,Crystal,Wang,M,F,"$60,000.00 ",Partial College,Skilled Manual,Hervey Bay,Queensland,Australia,6,6,"$8,295.02 "
11113,Micheal,Blanco,M,M,"$70,000.00 ",Bachelors,Professional,Perth,South Australia,Australia,7,7,$109.88 
11114,Leslie,Moreno,S,F,"$70,000.00 ",Partial College,Skilled Manual,Rhodes,New South Wales,Australia,7,7,$122.89 
11115,Alvin,Cai,M,M,"$70,000.00 ",Partial College,Skilled Manual,St. Leonards,New South Wales,Australia,6,6,$113.71 
11116,Clinton,Carlson,M,M,"$70,000.00 ",Partial College,Skilled Manual,Sydney,New South Wales,Australia,7,7,$148.70 
11117,April,Deng,M,F,"$70,000.00 ",Partial College,Skilled Manual,Matraville,New South Wales,Australia,8,8,"$8,184.99 "
11118,Alvin,Zeng,S,M,"$80,000.00 ",Partial College,Skilled Manual,Lavender Bay,New South Wales,Australia,8,8,$123.80 
11119,Evan,James,S,M,"$30,000.00 ",Partial College,Clerical,Port Macquarie,New South Wales,Australia,4,4,$85.22 
11120,Beth,Jiménez,S,F,"$40,000.00 ",Bachelors,Management,Sydney,New South Wales,Australia,10,10,"$8,242.49 "
11121,Orlando,Suarez,M,M,"$70,000.00 ",Partial College,Skilled Manual,Newcastle,New South Wales,Australia,6,6,$58.16 
11122,Byron,Vazquez,M,M,"$70,000.00 ",Partial College,Skilled Manual,North Sydney,New South Wales,Australia,3,3,$42.93 
11123,Philip,Alvarez,M,M,"$70,000.00 ",Partial College,Skilled Manual,Sunbury,Victoria,Australia,8,8,$149.84 
11124,Ross,Jordan,S,M,"$80,000.00 ",Partial College,Skilled Manual,Warrnambool,Victoria,Australia,6,6,"$8,129.02 "
11125,Dana,Navarro,S,F,"$70,000.00 ",Partial College,Skilled Manual,Seaford,Victoria,Australia,7,7,$79.69 
11126,Shaun,Carson,M,M,"$10,000.00 ",High School,Skilled Manual,North Ryde,New South Wales,Australia,8,8,"$4,972.37 "
11127,Jan,Edwards,M,F,"$40,000.00 ",High School,Skilled Manual,San Gabriel,California,United States,3,3,$43.98 
11128,Samantha,Long,M,F,"$40,000.00 ",High School,Skilled Manual,Renton,Washington,United States,7,7,$143.94 
11129,Julia,Wright,S,F,"$40,000.00 ",High School,Skilled Manual,Sedro Woolley,Washington,United States,2,2,"$5,873.26 "
11130,Caroline,Russell,M,F,"$30,000.00 ",High School,Skilled Manual,Lebanon,Oregon,United States,2,2,$37.29 
11131,Amanda,Rivera,M,F,"$30,000.00 ",High School,Skilled Manual,Haney,British Columbia,Canada,9,9,$165.91 
11132,Melissa,Richardson,S,F,"$30,000.00 ",High School,Skilled Manual,Langford,British Columbia,Canada,6,6,"$2,371.94 "
11133,Angela,Griffin,S,F,"$30,000.00 ",Partial High School,Clerical,Lake Oswego,Oregon,United States,4,4,$71.96 
11134,Larry,Townsend,S,M,"$10,000.00 ",High School,Skilled Manual,Perth,South Australia,Australia,3,3,"$4,911.83 "
11135,Marcus,Harris,S,M,"$30,000.00 ",Partial High School,Clerical,Burlingame,California,United States,3,3,"$2,334.97 "
11136,Brianna,Morgan,S,F,"$40,000.00 ",High School,Skilled Manual,Metchosin,British Columbia,Canada,3,3,"$2,380.47 "
11137,Jasmine,Taylor,M,F,"$40,000.00 ",High School,Skilled Manual,Spokane,Washington,United States,5,5,$202.57 
11138,Lauren,Davis,M,F,"$40,000.00 ",High School,Skilled Manual,Glendale,California,United States,4,4,$78.97 
11139,Tanya,Moreno,S,F,"$30,000.00 ",Partial College,Clerical,Cloverdale,South Australia,Australia,3,3,$83.97 
11140,Javier,Alvarez,S,M,"$30,000.00 ",Partial High School,Clerical,Burbank,California,United States,2,2,$39.99 
11141,Nicole,Ramirez,M,F,"$40,000.00 ",High School,Skilled Manual,Daly City,California,United States,5,5,$113.96 
11142,Eduardo,Patterson,S,M,"$40,000.00 ",High School,Skilled Manual,Langford,British Columbia,Canada,36,36,$980.77 
11143,Jonathan,Henderson,M,M,"$40,000.00 ",High School,Skilled Manual,Lakewood,California,United States,5,5,$48.56 
11144,Edward,Hernandez,S,M,"$40,000.00 ",High School,Skilled Manual,Ballard,Washington,United States,3,3,"$2,399.97 "
11145,Jasmine,Coleman,S,F,"$40,000.00 ",High School,Skilled Manual,Beaverton,Oregon,United States,3,3,"$2,309.97 "
11146,Karla,Goel,S,F,"$40,000.00 ",Bachelors,Management,Matraville,New South Wales,Australia,7,7,$112.93 
11147,Ernest,Wu,M,M,"$60,000.00 ",Graduate Degree,Management,Warrnambool,Victoria,Australia,7,7,"$8,195.50 "
11148,Ross,Vazquez,M,M,"$40,000.00 ",Bachelors,Management,East Brisbane,Queensland,Australia,6,6,$126.24 
11149,Theodore,Gill,M,M,"$40,000.00 ",Bachelors,Management,Hervey Bay,Queensland,Australia,4,4,$41.26 
11150,Russell,Shen,S,M,"$40,000.00 ",Bachelors,Management,Sunbury,Victoria,Australia,8,8,$192.42 
11151,Melinda,Gill,S,F,"$60,000.00 ",Graduate Degree,Management,Sydney,New South Wales,Australia,6,6,"$8,087.31 "
11152,James,Williams,S,M,"$40,000.00 ",High School,Skilled Manual,Puyallup,Washington,United States,1,1,"$2,294.99 "
11153,Angela,James,M,F,"$40,000.00 ",High School,Skilled Manual,Renton,Washington,United States,5,5,$109.77 
11154,Megan,Walker,S,F,"$40,000.00 ",Partial College,Skilled Manual,Woodburn,Oregon,United States,1,1,"$2,319.99 "
11155,Hunter,Robinson,S,M,"$40,000.00 ",Partial College,Skilled Manual,Burbank,California,United States,1,1,"$2,319.99 "
11156,Maria,Roberts,S,F,"$40,000.00 ",Partial College,Skilled Manual,Lakewood,California,United States,4,4,"$2,389.97 "
11157,Hannah,Long,M,F,"$40,000.00 ",High School,Skilled Manual,Tacoma,Washington,United States,3,3,$41.28 
11158,Jason,Wright,S,M,"$40,000.00 ",High School,Skilled Manual,San Gabriel,California,United States,3,3,"$2,395.96 "
11159,Brianna,Hughes,S,F,"$40,000.00 ",High School,Skilled Manual,Woodland Hills,California,United States,5,5,$48.56 
11160,Maurice,Tang,S,M,"$40,000.00 ",Partial College,Skilled Manual,Concord,California,United States,2,2,"$2,322.28 "
11161,Emily,Wood,S,F,"$40,000.00 ",Partial College,Skilled Manual,Concord,California,United States,6,6,$93.95 
11162,Chase,Cox,S,M,"$40,000.00 ",Partial College,Skilled Manual,La Jolla,California,United States,2,2,"$2,329.98 "
11163,Gabriel,Wang,M,M,"$40,000.00 ",Partial College,Skilled Manual,Spring Valley,California,United States,4,4,$46.27 
11164,Devin,Brooks,S,M,"$40,000.00 ",Partial College,Skilled Manual,Torrance,California,United States,6,6,$144.76 
11165,Jocelyn,Alexander,M,F,"$60,000.00 ",Partial College,Skilled Manual,Oakland,California,United States,3,3,$102.49 
11166,Ashley,Martinez,S,F,"$70,000.00 ",Partial College,Skilled Manual,Olympia,Washington,United States,5,5,$87.96 
11167,Jasmine,Barnes,S,F,"$80,000.00 ",Bachelors,Management,Issaquah,Washington,United States,4,4,"$3,126.33 "
11168,David,Rodriguez,S,M,"$80,000.00 ",Bachelors,Management,Oakland,California,United States,7,7,"$3,136.59 "
11169,Bryce,Richardson,M,M,"$90,000.00 ",Bachelors,Management,Coronado,California,United States,5,5,$81.26 
11170,Carol,Howard,M,F,"$90,000.00 ",Bachelors,Management,Burien,Washington,United States,7,7,$157.23 
11171,Jonathan,Hill,S,M,"$100,000.00 ",Bachelors,Management,Woodland Hills,California,United States,8,8,"$6,716.55 "
11172,Gabrielle,Adams,M,F,"$100,000.00 ",Bachelors,Management,Lynnwood,Washington,United States,7,7,$128.94 
11173,Sarah,Thomas,S,F,"$110,000.00 ",Graduate Degree,Management,W. Linn,Oregon,United States,3,3,$102.49 
11174,Nicholas,Robinson,M,M,"$110,000.00 ",Graduate Degree,Management,Los Angeles,California,United States,5,5,$48.56 
11175,Luis,Wang,S,M,"$70,000.00 ",Partial College,Skilled Manual,Beverly Hills,California,United States,8,8,"$6,710.55 "
11176,Mason,Roberts,M,M,"$90,000.00 ",Bachelors,Management,Haney,British Columbia,Canada,60,60,"$1,320.01 "
11177,Jose,Flores,M,M,"$110,000.00 ",Graduate Degree,Management,San Diego,California,United States,6,6,$135.25 
11178,Nathan,Johnson,M,M,"$100,000.00 ",Graduate Degree,Management,Lakewood,California,United States,6,6,$144.76 
11179,Molly,Rodriguez,M,F,"$120,000.00 ",Graduate Degree,Management,Beverly Hills,California,United States,6,6,$125.44 
11180,April,Anand,M,F,"$160,000.00 ",Bachelors,Management,Chula Vista,California,United States,6,6,$138.45 
11181,Devin,Martin,M,M,"$170,000.00 ",Graduate Degree,Management,Los Angeles,California,United States,3,3,$41.28 
11182,Stephanie,Torres,S,F,"$70,000.00 ",Bachelors,Management,Sedro Woolley,Washington,United States,5,5,$81.26 
11183,Jasmine,Lee,S,F,"$70,000.00 ",Bachelors,Management,Santa Cruz,California,United States,4,4,$46.27 
11184,Meghan,Hernandez,S,F,"$70,000.00 ",Bachelors,Management,Concord,California,United States,5,5,$68.25 
11185,Ashley,Henderson,S,F,"$70,000.00 ",Bachelors,Management,Metchosin,British Columbia,Canada,68,68,"$1,616.31 "
11186,Sarah,Price,S,F,"$70,000.00 ",Bachelors,Management,Palo Alto,California,United States,3,3,$41.28 
11187,Jennifer,Cooper,M,F,"$60,000.00 ",Graduate Degree,Management,Burien,Washington,United States,4,4,$107.48 
11188,Catherine,Morris,M,F,"$60,000.00 ",Graduate Degree,Management,San Gabriel,California,United States,5,5,$81.26 
11189,Lawrence,Blanco,S,M,"$60,000.00 ",Graduate Degree,Management,Bellingham,Washington,United States,6,6,"$5,944.22 "
11190,Carson,Bryant,M,M,"$70,000.00 ",Bachelors,Management,Beverly Hills,California,United States,4,4,$46.27 
11191,Kristi,Perez,S,F,"$70,000.00 ",Bachelors,Management,Colma,California,United States,7,7,"$6,743.58 "
11192,James,Brown,M,M,"$60,000.00 ",Bachelors,Management,Seattle,Washington,United States,5,5,$113.96 
11193,Ian,Gray,M,M,"$60,000.00 ",Bachelors,Management,Woodburn,Oregon,United States,3,3,$41.28 
11194,Jacqueline,Price,M,F,"$60,000.00 ",Bachelors,Management,Palo Alto,California,United States,6,6,$105.75 
11195,Megan,Henderson,M,F,"$60,000.00 ",Bachelors,Management,Renton,Washington,United States,6,6,$105.75 
11196,Alfredo,Romero,M,M,"$60,000.00 ",Bachelors,Management,Beaverton,Oregon,United States,4,4,$162.28 
11197,Andrea,Morris,M,F,"$70,000.00 ",Bachelors,Management,Seattle,Washington,United States,6,6,$207.56 
11198,Brooke,Sanders,S,F,"$70,000.00 ",Bachelors,Management,Santa Cruz,California,United States,4,4,$98.47 
11199,Jacqueline,Bennett,M,F,"$70,000.00 ",Bachelors,Management,Burlingame,California,United States,6,6,$131.75 
11200,Jason,Griffin,M,M,"$70,000.00 ",Bachelors,Management,Victoria,British Columbia,Canada,55,55,"$1,463.38 "
11201,Amanda,Foster,M,F,"$70,000.00 ",Bachelors,Management,Santa Monica,California,United States,6,6,$180.94 
11202,Alexia,Price,M,F,"$80,000.00 ",Bachelors,Management,Lakewood,California,United States,3,3,$73.98 
11203,Luis,Diaz,M,M,"$40,000.00 ",High School,Professional,Port Hammond,British Columbia,Canada,32,32,$801.77 
11204,Destiny,Rivera,M,F,"$40,000.00 ",High School,Professional,Beaverton,Oregon,United States,4,4,$77.27 
11205,Abby,Fernandez,M,F,"$40,000.00 ",High School,Professional,Burien,Washington,United States,2,2,$37.29 
11206,Blake,Flores,M,M,"$60,000.00 ",Partial College,Professional,Lynnwood,Washington,United States,4,4,$77.27 
11207,Danielle,Cox,S,F,"$60,000.00 ",Partial College,Professional,Renton,Washington,United States,4,4,$77.27 
11208,Maria,Reed,M,F,"$60,000.00 ",Bachelors,Management,Glendale,California,United States,7,7,$134.23 
11209,Allison,Evans,M,F,"$60,000.00 ",Bachelors,Management,Lincoln Acres,California,United States,2,2,$37.29 
11210,Edward,Wood,M,M,"$70,000.00 ",Partial College,Professional,West Covina,California,United States,5,5,$70.76 
11211,Samantha,Russell,M,F,"$40,000.00 ",High School,Professional,Haney,British Columbia,Canada,33,33,$793.55 
11212,Chloe,Campbell,M,F,"$40,000.00 ",High School,Professional,Metchosin,British Columbia,Canada,33,33,$827.19 
11213,Stephanie,Murphy,S,F,"$60,000.00 ",Partial College,Professional,Edmonds,Washington,United States,4,4,$77.27 
11214,Charles,Miller,S,M,"$60,000.00 ",Partial College,Professional,Milwaukie,Oregon,United States,4,4,$162.28 
11215,Ana,Perry,M,F,"$40,000.00 ",Partial High School,Skilled Manual,Royal Oak,British Columbia,Canada,32,32,"$1,155.52 "
11216,Jasmine,Torres,S,F,"$60,000.00 ",Partial College,Professional,Portland,Oregon,United States,5,5,"$5,948.24 "
11217,Natalie,Adams,S,F,"$60,000.00 ",Partial College,Professional,Portland,Oregon,United States,3,3,"$5,953.25 "
11218,Olivia,Brown,S,F,"$60,000.00 ",Partial College,Professional,Tacoma,Washington,United States,3,3,$39.58 
11219,Charles,Cook,M,M,"$60,000.00 ",High School,Professional,Woodburn,Oregon,United States,3,3,$39.58 
