customer_sk,customer_id,home_store,customer_name,customer_email,customer_since,loyalty_card_number,birthdate,gender,ingest_time
40,40,32-20 Broadway,Lucas Copeland,Emi@venenatis.edu,2017-04-22 00:00:00.0000000,180-267-4872,1957-01-15 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
41,41,32-20 Broadway,Harrison Cash,Uriel@imperdiet.us,2017-04-25 00:00:00.0000000,094-153-0253,1957-03-18 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
42,42,32-20 Broadway,Todd Mckay,Colin@Sed.edu,2017-04-27 00:00:00.0000000,679-008-0050,1957-05-19 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
43,43,32-20 Broadway,Caldwell Rosales,Julie@nulla.edu,2017-04-30 00:00:00.0000000,357-852-2866,1957-07-20 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
44,44,32-20 Broadway,Ciaran Owens,Samantha@taciti.edu,2017-05-03 00:00:00.0000000,979-597-2939,1957-09-20 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
45,45,32-20 Broadway,Harper Figueroa,Tashya@arcu.us,2017-05-06 00:00:00.0000000,203-603-4571,1957-11-22 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
46,46,32-20 Broadway,Zephania Yates,Duncan@et.net,2017-05-08 00:00:00.0000000,029-550-1237,1958-01-23 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
47,47,32-20 Broadway,Caleb Miranda,John@a.org,2017-05-11 00:00:00.0000000,807-423-0633,1958-03-26 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
48,48,32-20 Broadway,Simon Armstrong,Bertha@fringilla.com,2017-05-14 00:00:00.0000000,654-978-8530,1958-05-27 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
49,49,32-20 Broadway,Dale Holmes,Alfonso@lacus.com,2017-05-17 00:00:00.0000000,424-044-2556,1958-07-28 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
50,50,32-20 Broadway,Elton Lester,Colt@nunc.org,2017-05-19 00:00:00.0000000,017-112-7662,1958-09-28 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
51,51,32-20 Broadway,Valentine Joseph,Reese@dictum.edu,2017-05-22 00:00:00.0000000,805-407-8672,1958-11-29 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
52,52,32-20 Broadway,Drake Ochoa,Melinda@fermentum.gov,2017-05-25 00:00:00.0000000,710-304-2797,1959-01-30 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
53,53,32-20 Broadway,Robert Salas,Janna@convallis.edu,2017-05-28 00:00:00.0000000,787-654-2964,1959-04-03 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
54,54,32-20 Broadway,Ferris Kidd,Lysandra@adipiscing.gov,2017-05-30 00:00:00.0000000,383-139-9577,1959-06-04 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
55,55,32-20 Broadway,Justin Hart,Brynn@pede.org,2017-06-02 00:00:00.0000000,119-751-3976,1959-08-05 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
56,56,32-20 Broadway,Reed Holman,Karen@sociis.net,2017-06-05 00:00:00.0000000,199-920-1769,1959-10-06 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
57,57,32-20 Broadway,Kuame Cantu,Hedy@lacinia.edu,2017-06-08 00:00:00.0000000,256-419-8919,1959-12-07 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
58,58,32-20 Broadway,Adrian Carson,Stacy@tempus.net,2017-06-10 00:00:00.0000000,703-777-1632,1960-02-07 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
59,59,32-20 Broadway,Peter Hernandez,Georgia@Nulla.com,2017-06-13 00:00:00.0000000,983-004-2955,1960-04-09 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
60,60,32-20 Broadway,Raymond Forbes,Phelan@sed.edu,2017-06-16 00:00:00.0000000,524-730-2862,1960-06-11 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
61,61,32-20 Broadway,Tate Solis,Davis@fermentum.us,2017-06-19 00:00:00.0000000,752-217-2232,1960-08-12 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
62,62,32-20 Broadway,Valentine Butler,Brady@tellus.net,2017-06-21 00:00:00.0000000,703-338-1357,1960-10-13 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
63,63,32-20 Broadway,Lamar Chen,Preston@penatibus.edu,2017-06-24 00:00:00.0000000,403-049-6981,1960-12-14 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
64,64,32-20 Broadway,Macon Rush,Adrienne@Cras.org,2017-06-27 00:00:00.0000000,104-937-1984,1961-02-14 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
65,65,32-20 Broadway,Luke Beasley,Mufutau@elit.gov,2017-06-30 00:00:00.0000000,310-387-3534,1961-04-17 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
66,66,32-20 Broadway,Armando Faulkner,Amal@sociis.com,2017-07-02 00:00:00.0000000,309-219-0012,1961-06-18 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
67,67,32-20 Broadway,Barclay Clarke,Conan@ullamcorper.net,2017-07-05 00:00:00.0000000,511-786-9310,1961-08-19 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
68,68,32-20 Broadway,Tanek Craig,Rebekah@ullamcorper.gov,2017-07-08 00:00:00.0000000,399-348-1631,1961-10-21 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
69,69,32-20 Broadway,Caesar Estes,Chantale@massa.com,2017-07-11 00:00:00.0000000,463-990-0451,1961-12-22 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
70,70,32-20 Broadway,Ivor Levine,Irma@eleifend.us,2017-07-13 00:00:00.0000000,489-527-6220,1962-02-22 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
71,71,32-20 Broadway,Hall Patel,Denise@primis.org,2017-07-16 00:00:00.0000000,217-626-4681,1962-04-25 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
72,72,32-20 Broadway,Axel Fields,Herrod@at.gov,2017-07-19 00:00:00.0000000,026-870-4410,1962-06-26 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
73,73,32-20 Broadway,Geoffrey Wright,Kaitlin@parturient.org,2017-07-22 00:00:00.0000000,609-652-9928,1962-08-27 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
74,74,32-20 Broadway,Conan Glenn,Melyssa@ipsum.org,2017-07-24 00:00:00.0000000,329-949-6399,1962-10-28 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
75,75,32-20 Broadway,Giacomo Luna,Elliott@eleifend.us,2017-07-27 00:00:00.0000000,979-165-4242,1962-12-30 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
76,76,32-20 Broadway,Bruce Blackwell,Ima@pretium.net,2017-07-30 00:00:00.0000000,572-526-5147,1963-03-02 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
77,77,32-20 Broadway,Cullen Romero,Duncan@aptent.gov,2017-08-02 00:00:00.0000000,527-724-8593,1963-05-03 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
78,78,32-20 Broadway,Kato Bentley,Cody@aliquam.org,2017-08-05 00:00:00.0000000,785-964-9335,1963-07-04 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
79,79,32-20 Broadway,Brandon Walter,Kevyn@accumsan.edu,2017-08-07 00:00:00.0000000,557-211-3460,1963-09-04 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
80,80,32-20 Broadway,Benjamin Mcguire,Vernon@Duis.gov,2017-08-10 00:00:00.0000000,913-670-1136,1963-11-05 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
81,81,32-20 Broadway,Donovan Russo,Neil@Donec.gov,2017-08-13 00:00:00.0000000,215-509-6514,1964-01-06 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
82,82,32-20 Broadway,Conan Meyers,Charissa@varius.gov,2017-08-16 00:00:00.0000000,227-846-2083,1964-03-08 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
83,83,32-20 Broadway,Cedric Duke,Adrienne@lorem.com,2017-08-18 00:00:00.0000000,443-645-8649,1964-05-10 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
84,84,32-20 Broadway,Kareem Sanchez,Kuame@erat.org,2017-08-21 00:00:00.0000000,828-727-5876,1964-07-11 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
85,85,32-20 Broadway,Kibo Mayo,Avye@vitae.edu,2017-08-24 00:00:00.0000000,948-903-4949,1964-09-11 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
86,86,32-20 Broadway,Jack Mcdowell,Athena@Sed.gov,2017-08-27 00:00:00.0000000,166-246-9158,1964-11-12 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
87,87,32-20 Broadway,Porter Green,Deirdre@at.com,2017-08-29 00:00:00.0000000,003-132-5247,1965-01-13 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
88,88,32-20 Broadway,Hedley Fitzpatrick,Daria@pulvinar.gov,2017-09-01 00:00:00.0000000,360-458-8120,1965-03-16 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
89,89,32-20 Broadway,Addison Barrera,Adrian@ut.org,2017-09-04 00:00:00.0000000,084-213-3936,1965-05-17 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
90,90,32-20 Broadway,Brendan Mitchell,Joy@sit.gov,2017-09-07 00:00:00.0000000,501-147-3326,1965-07-19 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
91,91,32-20 Broadway,Hu Daniel,Merrill@Vivamus.com,2017-09-09 00:00:00.0000000,702-544-9634,1965-09-19 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
92,92,32-20 Broadway,Christian Massey,Patience@facilisi.com,2017-09-12 00:00:00.0000000,867-249-6572,1965-11-20 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
93,93,32-20 Broadway,Ian Jimenez,Hamish@laoreet.net,2017-09-15 00:00:00.0000000,088-083-1467,1966-01-21 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
94,94,32-20 Broadway,Ignatius Fitzpatrick,Dexter@in.gov,2017-09-18 00:00:00.0000000,686-116-8366,1966-03-24 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
95,95,32-20 Broadway,Gabriel Vargas,Kessie@ipsum.net,2017-09-20 00:00:00.0000000,485-255-6636,1966-05-25 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
96,96,32-20 Broadway,Nigel Yates,Malik@Cras.edu,2017-09-23 00:00:00.0000000,134-226-3957,1966-07-26 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
97,97,32-20 Broadway,Jonah Kent,Jana@nunc.us,2017-09-26 00:00:00.0000000,034-272-9190,1966-09-26 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
98,98,32-20 Broadway,Duncan Arnold,Scarlet@at.com,2017-09-29 00:00:00.0000000,755-191-3372,1966-11-28 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
99,99,32-20 Broadway,Orlando Shields,Ivory@scelerisque.us,2017-10-01 00:00:00.0000000,747-164-4596,1967-01-29 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
100,100,32-20 Broadway,Boris Estrada,Rosalyn@Proin.com,2017-10-04 00:00:00.0000000,406-350-0623,1967-04-01 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
101,101,32-20 Broadway,Castor Savage,Donovan@eget.gov,2017-10-07 00:00:00.0000000,418-472-9496,1967-06-02 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
102,102,32-20 Broadway,Tyrone Armstrong,Hilda@malesuada.com,2017-10-10 00:00:00.0000000,404-721-1224,1967-08-03 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
103,103,32-20 Broadway,Rigel Dalton,Stewart@nonummy.edu,2017-10-12 00:00:00.0000000,222-268-5708,1967-10-04 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
104,104,32-20 Broadway,Oleg Mccray,Carson@inceptos.edu,2017-10-15 00:00:00.0000000,509-169-2093,1967-12-05 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
105,105,32-20 Broadway,Ulric Bradshaw,Lee@cursus.net,2017-10-18 00:00:00.0000000,731-688-7204,1968-02-06 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
106,106,32-20 Broadway,Scott Russell,Lacey@elementum.gov,2017-10-21 00:00:00.0000000,854-586-9765,1968-04-08 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
107,107,32-20 Broadway,Akeem Wiley,Nell@arcu.gov,2017-10-23 00:00:00.0000000,984-827-9560,1968-06-09 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
108,108,32-20 Broadway,Herrod Garrison,Baxter@sociosqu.org,2017-10-26 00:00:00.0000000,738-873-5744,1968-08-10 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
109,109,32-20 Broadway,Dennis Leblanc,Ruth@tortor.org,2017-10-29 00:00:00.0000000,390-916-4716,1968-10-11 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
110,110,32-20 Broadway,Keane Robinson,Dara@dignissim.com,2017-11-01 00:00:00.0000000,046-864-3591,1968-12-12 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
111,111,32-20 Broadway,Isaiah Stevenson,Clayton@In.net,2017-11-03 00:00:00.0000000,714-419-2937,1969-02-12 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
112,112,32-20 Broadway,Allistair Ramirez,Tatum@Cum.gov,2017-11-06 00:00:00.0000000,253-876-9471,1969-04-15 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
113,113,32-20 Broadway,Gannon Rowe,Cameron@nascetur.us,2017-11-09 00:00:00.0000000,962-226-5001,1969-06-17 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
114,114,32-20 Broadway,Aquila Strong,Lucian@Morbi.org,2017-11-12 00:00:00.0000000,423-516-7004,1969-08-18 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
115,115,32-20 Broadway,Gabriel Hansen,Declan@fames.net,2017-11-15 00:00:00.0000000,035-933-1503,1969-10-19 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
116,116,32-20 Broadway,Reese Gibson,Gay@ipsum.edu,2017-11-17 00:00:00.0000000,595-850-6008,1969-12-20 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
117,117,32-20 Broadway,Lewis Deleon,Conan@tristique.us,2017-11-20 00:00:00.0000000,998-351-2564,1970-02-20 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
118,118,32-20 Broadway,Alec Emerson,Aretha@nunc.us,2017-11-23 00:00:00.0000000,302-595-2714,1970-04-23 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
119,119,32-20 Broadway,Cullen Harrell,Madeline@libero.org,2017-11-26 00:00:00.0000000,977-062-4695,1970-06-24 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
120,120,32-20 Broadway,Emery Stokes,Vera@Cras.us,2017-11-28 00:00:00.0000000,878-098-9349,1970-08-26 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
121,121,32-20 Broadway,Anthony Santiago,Louis@lorem.gov,2017-12-01 00:00:00.0000000,419-037-6499,1970-10-27 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
122,122,32-20 Broadway,Jermaine Ray,Josephine@convallis.us,2017-12-04 00:00:00.0000000,987-333-9350,1970-12-28 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
123,123,32-20 Broadway,Guy Taylor,Nayda@gravida.us,2017-12-07 00:00:00.0000000,253-334-6796,1971-02-28 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
124,124,32-20 Broadway,Holmes Dorsey,Ivy@pellentesque.com,2017-12-09 00:00:00.0000000,118-893-0232,1971-05-01 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
125,125,32-20 Broadway,Alexander Miller,Omar@sociis.net,2017-12-12 00:00:00.0000000,482-661-3695,1971-07-02 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
126,126,32-20 Broadway,Mark Baldwin,Porter@amet.net,2017-12-15 00:00:00.0000000,866-602-6723,1971-09-02 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
127,127,32-20 Broadway,Stuart Nunez,Noah@adipiscing.gov,2017-12-18 00:00:00.0000000,796-362-1661,1971-11-03 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
128,128,32-20 Broadway,Bernard Callahan,Anthony@placerat.org,2017-12-20 00:00:00.0000000,061-805-1586,1972-01-05 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
129,129,32-20 Broadway,Travis Carr,Thane@ullamcorper.com,2017-12-23 00:00:00.0000000,939-640-0576,1972-03-07 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
130,130,32-20 Broadway,Dale Marquez,Armand@massa.net,2017-12-26 00:00:00.0000000,656-130-6731,1972-05-08 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
131,131,32-20 Broadway,Amal Dejesus,Blaze@leo.gov,2017-12-29 00:00:00.0000000,557-490-4280,1972-07-09 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
132,132,32-20 Broadway,Tate Albert,Piper@Cum.net,2017-12-31 00:00:00.0000000,174-527-6126,1972-09-09 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
133,133,32-20 Broadway,Zahir Webb,Jermaine@Lorem.us,2018-01-03 00:00:00.0000000,389-154-7436,1972-11-10 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
134,134,32-20 Broadway,Ian Duncan,Jack@dolor.us,2018-01-06 00:00:00.0000000,814-963-1003,1973-01-11 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
135,135,32-20 Broadway,Matthew Mcneil,Elaine@Aliquam.com,2018-01-09 00:00:00.0000000,942-295-9967,1973-03-15 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
136,136,32-20 Broadway,Neil Bonner,Preston@lorem.us,2018-01-11 00:00:00.0000000,026-221-2273,1973-05-16 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
137,137,32-20 Broadway,Phelan Wiggins,Sybil@nostra.com,2018-01-14 00:00:00.0000000,298-064-0679,1973-07-17 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
138,138,32-20 Broadway,Gary Padilla,Zachary@dis.gov,2018-01-17 00:00:00.0000000,135-645-6065,1973-09-17 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
139,139,32-20 Broadway,Beck Griffin,Isabelle@viverra.edu,2018-01-20 00:00:00.0000000,309-009-5095,1973-11-18 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
140,140,32-20 Broadway,Elijah Pate,Galena@non.net,2018-01-22 00:00:00.0000000,648-469-4108,1974-01-19 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
141,141,32-20 Broadway,Marsden Whitaker,Amery@nunc.gov,2018-01-25 00:00:00.0000000,204-712-4465,1974-03-22 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
142,142,32-20 Broadway,Davis Joyner,Skyler@in.us,2018-01-28 00:00:00.0000000,966-683-7594,1974-05-23 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
143,143,32-20 Broadway,Uriah Schroeder,Kimberly@odio.edu,2018-01-31 00:00:00.0000000,588-506-6627,1974-07-25 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
144,144,32-20 Broadway,Ulysses Mann,Kelly@dui.net,2018-02-02 00:00:00.0000000,307-778-5972,1974-09-25 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
145,145,32-20 Broadway,Hamish Cervantes,Reuben@venenatis.us,2018-02-05 00:00:00.0000000,799-691-7563,1974-11-26 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
146,146,32-20 Broadway,Steel Beach,Teagan@placerat.us,2018-02-08 00:00:00.0000000,116-496-8758,1975-01-27 00:00:00.0000000,Male,2024-07-22T14:11:09.790669Z
